lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,total open class,entropy,%OPENCLASS
few,FeW,0.00033784,0.00016892,2,CoS FoR thE pAsS FeW 25Hrs...,31444,3,4,5920,0.016583644,1
few,few,0.00033784,0.00016892,2,"I few more weeks or months, will tell.",13393,24,1,5920,0.016583644,1
able,abled,0.00035026,0.00035026,1,Shroom thanked him and looked sufficiently ill-abled that Sprout took up the electric screwdriver and removed the cabinet doors that remained.,23858,21,8,2855,0.017402394,1
george,GEORGE,0.00181488,0.99818512,1,GEORGE THE TUMOUR PIG!!,16833,103,0,551,0.019142094,1
possible,POSSIBLE,0.00087796,0.00087796,1,"To top it off, I was in the FARTHEST POSSIBLE SPOT in the library from the reserves desk; I was studying at the far end of D-level, the lowest level in the library, while the reserves desk is on the opposite end of the library on M-level (ground floor).",24264,5,10,1139,0.020359929,1
ako,ako,0.00212314,0.99787686,1,"Naiinis ako na kahit sa tourist class, magkakadikit ang mga cots.",15791,13,1,471,0.021912411,1
possibility,possibility,0.00311526,0,1,"But, since Iraq does not have a nuclear program, I guess that rules that possibility out.",3292,16,16,321,0.030426402,1
%,%,0.00069784,0.00279135,1,"Precisely, how are we suppose to complete a paper with 2 hours worth of question within an hour?' .....'I couldn't finish that #$*%ing paper!' '",13767,8,31,1433,0.036025813,0.98
productive,productive,0.00390625,0,1,productive my ass.,32731,4,0,256,0.036874506,1
skill,skills,0.00395257,0,2,"For five years, as Dango tended to her grandmother, Anzai taught her how to blend her geisha skills her with his tactician training while keeping her in shape through strength training and yoga.",19086,23,19,506,0.037244402,1
skill,skills,0.00395257,0,2,This is mainly down to me going off on ccf camp which will involve a day of paintballing apparently to improve any soldierly skills any of us have.,35528,12,23,506,0.037244402,1
feeling,feelings,0.00221435,0.00132861,5,i still hv feelings 4 Reina..,26798,52,3,2258,0.037326484,0.99
feeling,feelings,0.00221435,0.00132861,5,"I’m rili confused  ),=   Sekarang ni bukannya masa yang tepat untukku bilang to let mie feelings out..",14305,9,20,2258,0.037326484,0.99
feeling,feelings,0.00221435,0.00132861,5,"it 2 b lyk, i hv feelings 4 dem..",26795,58,7,2258,0.037326484,0.99
feeling,feelings,0.00221435,0.00132861,5,"Shes filled with hate deep inside, but that feelings nothing new.",30216,134,10,2258,0.037326484,0.99
feeling,feelings,0.00221435,0.00132861,5,"So I'm walking home in the rain reading it, in disbelief, smsing luke 2 double check its bout me, yup is, yeh feelings mutual etc.",37743,10,27,2258,0.037326484,0.99
jesus,JESUS,0.00094073,0.99623706,1,Thank you JESUS for all the ways you've made and so much more... like dying on the cross for my sins...,36603,103,2,1063,0.041369344,1
ne,ned,0.00526316,0.99473684,1,"Gestern sind meine Mum und ich direkt nach der Schule nach nem Rock schauen gegangen und...ich hatte mich in der Schule schon ned so gut gefuehlt (mein Ruecken tat/tut voll weh),",23347,0,24,190,0.04741446,1
sa,sa,0.00124688,0.99501247,1,so i went around teh school and sa them,21954,9,7,802,0.049365725,1
comments,COMMENTS,0.00569801,0.99430199,2,COMMENTS SECTION...,9382,1,0,351,0.050677517,1
comments,COMMENTs,0.00569801,0.99430199,2,lol not that anyone COMMENTs....,15142,27,4,351,0.050677517,1
direction,direction,0.00172712,0.00345423,1,and i'm falling into the crevice no matter which direction its going.,12695,4,10,579,0.05155287,1
pleased,pleased,0.00584795,0,1,So his wife was not to pleased with him either.,38379,7,6,171,0.05179135,1
habit,habit,0.00259067,0.00259067,1,"Other days I would drape a towel over my hair and, instead of pretending it was long flowing locks, would imagine myself in a nuns habit.",4424,4,27,386,0.051976208,1
del,del,0.00588235,0.99411765,1,"on a particular day u del me from GunBound and den a sudden change of attitude, tell u hor, wat i do?",27024,5,5,170,0.052046085,1
conversation,conversation,0.00079051,0.00474308,1,Then I went to thoughts of Kay and then I came back to the world and my friends conversation.,36597,27,18,1265,0.052723754,1
people,people,5.76E-05,0.00587862,1,"All you HCT people out there, if you have Jacki's phone number, let me know.",23433,12,3,17351,0.052912776,1
same,Samed,0.00060447,0.00120895,3,"I get to Samed on Sat's noon, It so hot but funny and happy, with my ex colleager and my bf, about 20 peoples, WOW!!!",32436,4,3,4963,0.055410481,1
same,samed,0.00060447,0.00120895,3,"Afternoon i had lunch with Myy and Keth (myy's colleager) at 'Swiss Cafe' on Silom road, and then i went to see my friend who i went to samed on last week.",32435,7,34,4963,0.055410481,1
same,Samed,0.00060447,0.00120895,3,I just back from  Samed .,32436,1,5,4963,0.055410481,1
