lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,entropy,%OPENCLASS
ne,ned,0.01,0.99,1,"Gestern sind meine Mum und ich direkt nach der Schule nach nem Rock schauen gegangen und...ich hatte mich in der Schule schon ned so gut gefuehlt (mein Ruecken tat/tut voll weh),",23347,0,24,0.04741446,1.0
comments,COMMENTS,0.01,0.99,2,COMMENTS SECTION...,9382,1,0,0.050677517,1.0
comments,COMMENTs,0.01,0.99,2,lol not that anyone COMMENTs....,15142,27,4,0.050677517,1.0
pleased,pleased,0.01,0.0,1,So his wife was not to pleased with him either.,38379,7,6,0.05179135,1.0
del,del,0.01,0.99,1,"on a particular day u del me from GunBound and den a sudden change of attitude, tell u hor, wat i do?",27024,5,5,0.052046085,1.0
expense,expensing,0.01,0.0,1,"Last night I picked up the check at dinner (dont get too excited, Im expensing it), this morning I stopped at Starbucks and got a latte and slice of banana bread.",7741,6,18,0.062682653,1.0
unusual,UNUSUAL,0.01,0.0,1,ERRATIC c : being out of the ordinary : UNUSUAL a taste for crazy hats 3 a : distracted with desire or excitement a thrill-crazy mob b : absurdly fond : INFATUATED he's crazy about the girl> c : passionately preoccupied : OBSESSED crazy about    urlLink   boats    .,39409,1,9,0.067221545,1.0
distant,distant,0.01,0.0,1,"I notice I'm getting weak in faith, and beginning to distant myself from Him again.",34686,22,12,0.068586094,1.0
role,role,0.01,0.0,4,"American and British soldiers, albeit a minority of them have behaved terribly and individually they should be punished, but at the very top heads must role for these despicable war crimes.",15864,1,27,0.080531741,1.0
role,role,0.01,0.0,4,i hear from some i care too much...that i need to go w/ the flow and just let things role off my back...that i let things get to me too easily,1342,4,21,0.080531741,1.0
role,Role,0.01,0.0,4,"Role Playing Game,",11591,15,0,0.080531741,1.0
role,roling,0.01,0.0,4,"Peace and remember, keep those cards and letters roling in... mike@vinterus.com www.vinterus.com www.winerescue.com",21905,81,9,0.080531741,1.0
extent,extent,0.01,0.0,2,"I decided to extent my search through the www (thanks to my friend Noufal, who incidentally had made arrangements for my transportation as well by gifting me his bike).",23774,27,3,0.084262429,1.0
extent,extent,0.01,0.0,2,The betting station even extent the operating hours to 2am!,31442,3,4,0.084262429,1.0
friends,fRiEnDs,0.01,0.99,1,"*LiFe TaKeS uR DrEaMz & tUrNs thEm UpSiDe DoWn , fRiEnDs TaLk bOuT u",18512,1011,11,0.08499556,1.0
packet,packet,0.01,0.0,1,The room is so packet up with chairs theres no room for skanking/moshing.,32591,58,4,0.08499556,1.0
lauren,laurens,0.01,0.99,2,laurens,29931,32,0,0.085367347,1.0
lauren,laurens,0.01,0.99,2,and we liekd kalled up lauren n she sed she was on teh fone with megan then we kalled megan 4 sum shits n giggles and tehn we kalled laurens,21954,12,29,0.085367347,1.0
distraction,distractions,0.01,0.0,1,Distractions ... distractions all distractions to my destiny.,36580,60,2,0.086504214,1.0
crowded,crowded,0.01,0.0,1,O_o  campus is way to crowded now.,14529,11,6,0.08970339,1.0
ross,ROSS,0.01,0.99,1,ROSS AND RACHEL ARE TOGETHER FOREVER!!!!!!!!,23196,12,0,0.08970339,1.0
patience,Patience,0.01,0.0,2,Patience my child.,18374,31,0,0.090121493,1.0
patience,patience,0.01,0.0,2,I don't think I have to patience to write a whole book though.,5397,3,7,0.090121493,1.0
rachel,rachels,0.01,0.99,2,well then after my lesson i had to wait for Rachel cause people were there t try Spider (rachels old horse) and then Kate asked me to work her shift (3-end) wich probly earned me bout 5 Dollars!!!!!!!!!!!!,14411,16,19,0.090994723,1.0
rachel,rachels,0.01,0.99,2,grin* rachel  seal   the   sin (9:10:41 PM): like she  seal   the   sin (9:10:48 PM): cuz rachels a nice kid  really?,5336,2,26,0.090994723,1.0
insight,INSIGHT,0.01,0.0,2,LOL after 15 more mins jo came bak..NOT WITH POPCORN INSIGHT!!!!!!!,3783,18,12,0.09140162,1.0
